2.57.122.233 - - [06/Nov/2023:00:02:53 +0000] "GET /exactarget/ HTTP/1.1" 404 766
141.98.11.52 - - [06/Nov/2023:00:30:31 +0000] "GET / HTTP/1.1" 200 3979
139.162.84.205 - - [06/Nov/2023:00:39:04 +0000] "GET / HTTP/1.0" 200 3979
35.203.210.139 - - [06/Nov/2023:00:43:37 +0000] "GET / HTTP/1.1" 200 3979
46.174.191.32 - - [06/Nov/2023:00:59:05 +0000] "GET / HTTP/1.0" 200 3979
20.79.216.153 - - [06/Nov/2023:01:01:34 +0000] "HI 6e461340-3dc0-4d2a-a6d2-5d3f80b10679 " 400 795
185.254.196.173 - - [06/Nov/2023:01:01:37 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:01:01:37 +0000] "POST / HTTP/1.1" 200 3979
135.125.244.48 - - [06/Nov/2023:01:14:29 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [06/Nov/2023:01:14:29 +0000] "POST / HTTP/1.1" 200 3979
68.69.185.50 - - [06/Nov/2023:01:22:41 +0000] "GET / HTTP/1.1" 200 3979
68.69.185.50 - - [06/Nov/2023:01:22:42 +0000] "GET ../../proc/ HTTP" 400 795
43.154.141.71 - - [06/Nov/2023:01:27:11 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
185.254.196.173 - - [06/Nov/2023:01:31:29 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:01:31:29 +0000] "POST / HTTP/1.1" 200 3979
2.57.122.213 - - [06/Nov/2023:01:57:36 +0000] "GET /.env HTTP/1.1" 404 755
2.57.122.213 - - [06/Nov/2023:01:57:37 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.239 - - [06/Nov/2023:02:07:12 +0000] "-" 400 2223
205.210.31.239 - - [06/Nov/2023:02:07:13 +0000] "-" 400 3415
20.210.228.23 - - [06/Nov/2023:02:27:47 +0000] "GET /.env HTTP/1.1" 404 755
20.210.228.23 - - [06/Nov/2023:02:27:47 +0000] "POST / HTTP/1.1" 200 3979
94.156.69.66 - - [06/Nov/2023:02:29:21 +0000] "HEAD / HTTP/1.1" 200 -
94.156.69.66 - - [06/Nov/2023:02:29:22 +0000] "GET /.env HTTP/1.1" 404 755
94.156.69.66 - - [06/Nov/2023:02:29:22 +0000] "POST / HTTP/1.1" 200 3979
94.156.69.66 - - [06/Nov/2023:02:29:23 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 772
94.156.69.66 - - [06/Nov/2023:02:29:24 +0000] "GET /debug/default/view?panel=config HTTP/1.1" 404 777
185.254.196.173 - - [06/Nov/2023:02:39:56 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Nov/2023:02:39:57 +0000] "POST / HTTP/1.1" 200 3979
43.154.141.71 - - [06/Nov/2023:03:00:23 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
205.210.31.153 - - [06/Nov/2023:03:19:01 +0000] "GET / HTTP/1.1" 200 3979
198.235.24.71 - - [06/Nov/2023:03:22:24 +0000] "GET / HTTP/1.0" 200 3979
205.210.31.12 - - [06/Nov/2023:03:25:24 +0000] "GET / HTTP/1.0" 200 3979
162.216.150.61 - - [06/Nov/2023:03:43:05 +0000] "GET / HTTP/1.1" 200 3979
185.254.196.173 - - [06/Nov/2023:04:05:04 +0000] "GET /.env HTTP/1.1" 404 755
43.154.141.71 - - [06/Nov/2023:04:33:58 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
45.95.146.97 - - [06/Nov/2023:04:35:05 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 782
139.162.84.205 - - [06/Nov/2023:04:38:18 +0000] "GET / HTTP/1.0" 200 3979
71.6.232.22 - - [06/Nov/2023:04:45:55 +0000] "GET / HTTP/1.1" 200 3979
205.210.31.153 - - [06/Nov/2023:05:14:20 +0000] "GET / HTTP/1.1" 200 3979
3.71.109.195 - - [06/Nov/2023:05:29:36 +0000] "GET / HTTP/1.1" 200 3979
3.71.109.195 - - [06/Nov/2023:05:29:37 +0000] "GET / HTTP/1.1" 200 3979
3.71.109.195 - - [06/Nov/2023:05:29:43 +0000] "GET / HTTP/1.1" 200 3979
