107.170.229.45 - - [23/Jan/2024:00:17:53 +0000] "GET /hudson HTTP/1.1" 404 757
20.218.153.230 - - [23/Jan/2024:00:26:59 +0000] "GET /.env HTTP/1.1" 404 755
20.218.153.230 - - [23/Jan/2024:00:26:59 +0000] "POST / HTTP/1.1" 200 3979
87.236.176.232 - - [23/Jan/2024:00:28:25 +0000] "GET / HTTP/1.1" 200 3979
181.214.94.5 - - [23/Jan/2024:00:32:13 +0000] "GET /.env HTTP/1.1" 404 755
181.214.94.5 - - [23/Jan/2024:00:32:13 +0000] "GET /Profiler HTTP/1.1" 404 759
181.214.94.5 - - [23/Jan/2024:00:32:14 +0000] "GET /Phpinfo HTTP/1.1" 404 758
181.214.94.5 - - [23/Jan/2024:00:32:14 +0000] "GET /Phpinfo/profiler HTTP/1.1" 404 771
181.214.94.5 - - [23/Jan/2024:00:32:15 +0000] "POST / HTTP/1.1" 200 3979
181.214.94.5 - - [23/Jan/2024:00:32:15 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 825
205.210.31.156 - - [23/Jan/2024:00:42:26 +0000] "GET / HTTP/1.0" 200 3979
139.162.84.205 - - [23/Jan/2024:00:44:15 +0000] "GET / HTTP/1.0" 200 3979
135.125.246.189 - - [23/Jan/2024:00:58:14 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:00:58:14 +0000] "POST / HTTP/1.1" 200 3979
198.98.54.50 - - [23/Jan/2024:01:05:47 +0000] "GET /manager/html HTTP/1.1" 403 3446
185.254.196.186 - - [23/Jan/2024:01:14:49 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [23/Jan/2024:01:14:51 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.141 - - [23/Jan/2024:01:23:18 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.173 - - [23/Jan/2024:01:33:12 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:01:33:13 +0000] "POST / HTTP/1.1" 200 3979
170.64.200.244 - - [23/Jan/2024:01:39:08 +0000] "-" 400 2851
170.64.200.244 - - [23/Jan/2024:01:39:08 +0000] "-" 400 2851
