71.136.79.120 - - [27/Jan/2024:00:28:53 +0000] "GET /frontend_dev.php/$ HTTP/1.1" 404 773
139.162.84.205 - - [27/Jan/2024:00:37:54 +0000] "GET / HTTP/1.0" 200 3979
135.125.246.110 - - [27/Jan/2024:00:37:55 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [27/Jan/2024:00:37:56 +0000] "POST / HTTP/1.1" 200 3979
162.243.138.5 - - [27/Jan/2024:02:31:26 +0000] "GET / HTTP/1.1" 200 3979
135.125.244.48 - - [27/Jan/2024:02:36:07 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:02:36:08 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [27/Jan/2024:02:44:13 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:02:44:14 +0000] "POST / HTTP/1.1" 200 3979
207.90.244.6 - - [27/Jan/2024:02:48:49 +0000] "GET / HTTP/1.1" 200 3979
207.90.244.6 - - [27/Jan/2024:02:48:50 +0000] "GET /robots.txt HTTP/1.1" 404 761
207.90.244.6 - - [27/Jan/2024:02:48:51 +0000] "GET /sitemap.xml HTTP/1.1" 404 762
207.90.244.6 - - [27/Jan/2024:02:48:51 +0000] "GET /.well-known/security.txt HTTP/1.1" 404 779
207.90.244.6 - - [27/Jan/2024:02:48:52 +0000] "GET /favicon.ico HTTP/1.1" 404 762
205.210.31.222 - - [27/Jan/2024:02:54:55 +0000] "-" 400 2217
205.210.31.222 - - [27/Jan/2024:02:54:55 +0000] "-" 400 3407
147.124.214.236 - - [27/Jan/2024:03:17:45 +0000] "GET /.env HTTP/1.1" 404 755
147.124.214.236 - - [27/Jan/2024:03:17:46 +0000] "POST / HTTP/1.1" 200 3979
147.124.214.236 - - [27/Jan/2024:03:18:11 +0000] "GET /sendgrid/.env HTTP/1.1" 404 768
147.124.214.236 - - [27/Jan/2024:03:18:11 +0000] "POST / HTTP/1.1" 200 3979
51.159.100.248 - - [27/Jan/2024:03:58:47 +0000] "HEAD / HTTP/1.1" 200 -
51.159.100.248 - - [27/Jan/2024:03:58:50 +0000] "GET / HTTP/1.1" 200 3979
51.159.100.248 - - [27/Jan/2024:03:58:51 +0000] "GET /favicon.ico HTTP/1.1" 404 762
51.159.100.248 - - [27/Jan/2024:03:58:51 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
51.159.100.248 - - [27/Jan/2024:03:58:55 +0000] "-" 400 2147
135.125.244.48 - - [27/Jan/2024:04:00:15 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:04:00:16 +0000] "POST / HTTP/1.1" 200 3979
185.180.143.7 - - [27/Jan/2024:04:08:44 +0000] "GET / HTTP/1.1" 200 3979
185.254.196.173 - - [27/Jan/2024:04:12:33 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:04:12:34 +0000] "POST / HTTP/1.1" 200 3979
162.216.150.82 - - [27/Jan/2024:04:35:15 +0000] "GET / HTTP/1.1" 200 3979
139.162.84.205 - - [27/Jan/2024:04:43:13 +0000] "GET / HTTP/1.0" 200 3979
135.125.244.48 - - [27/Jan/2024:05:08:04 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:05:08:05 +0000] "POST / HTTP/1.1" 200 3979
45.79.172.21 - - [27/Jan/2024:05:29:11 +0000] "-" 400 2255
198.98.54.50 - - [27/Jan/2024:05:31:34 +0000] "GET /manager/html HTTP/1.1" 403 3446
91.92.248.134 - - [27/Jan/2024:05:56:01 +0000] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:56:09 +0000] "CONNECT 185.65.245.140:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:56:19 +0000] "CONNECT 185.65.245.140:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:56:30 +0000] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:56:39 +0000] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:56:48 +0000] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:56:58 +0000] "CONNECT 193.149.189.126:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:57:11 +0000] "CONNECT 185.65.245.140:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:57:21 +0000] "CONNECT 193.149.189.126:7227 HTTP/1.1" 501 724
91.92.248.134 - - [27/Jan/2024:05:57:31 +0000] "CONNECT 45.61.137.126:7227 HTTP/1.1" 501 724
185.254.196.173 - - [27/Jan/2024:06:09:52 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:06:09:53 +0000] "POST / HTTP/1.1" 200 3979
185.224.128.55 - - [27/Jan/2024:06:10:30 +0000] "GET / HTTP/1.1" 200 3979
198.235.24.12 - - [27/Jan/2024:06:18:45 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.173 - - [27/Jan/2024:07:11:56 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:07:11:57 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [27/Jan/2024:07:20:43 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:07:20:44 +0000] "POST / HTTP/1.1" 200 3979
135.125.244.48 - - [27/Jan/2024:07:36:04 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:07:36:05 +0000] "POST / HTTP/1.1" 200 3979
216.218.206.117 - - [27/Jan/2024:07:37:54 +0000] "GET / HTTP/1.1" 200 3979
216.218.206.125 - - [27/Jan/2024:07:38:33 +0000] "GET /favicon.ico HTTP/1.1" 404 762
216.218.206.121 - - [27/Jan/2024:07:39:28 +0000] "CONNECT www.shadowserver.org:443 HTTP/1.1" 501 724
198.235.24.159 - - [27/Jan/2024:08:07:08 +0000] "GET / HTTP/1.1" 200 3979
43.153.15.128 - - [27/Jan/2024:08:07:12 +0000] "GET / HTTP/1.1" 200 3979
36.99.136.137 - - [27/Jan/2024:08:07:17 +0000] "GET / HTTP/1.1" 200 3979
36.99.136.137 - - [27/Jan/2024:08:07:18 +0000] "GET /favicon.ico HTTP/1.1" 404 762
198.98.54.50 - - [27/Jan/2024:08:20:00 +0000] "GET /manager/html HTTP/1.1" 403 3446
135.125.244.48 - - [27/Jan/2024:08:22:30 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:08:22:30 +0000] "POST / HTTP/1.1" 200 3979
96.127.160.234 - - [27/Jan/2024:08:36:36 +0000] "POST /goform/set_LimitClient_cfg HTTP/1.1" 404 781
94.156.65.188 - - [27/Jan/2024:08:36:39 +0000] "HEAD / HTTP/1.0" 200 -
94.156.65.188 - - [27/Jan/2024:08:36:41 +0000] "HEAD / HTTP/1.0" 200 -
